user_id:int	item_id:int
0	3702
0	9986
0	12
0	2900
0	0
0	11325
0	12577
0	275
1	1
1	11577
1	11143
2	2
2	11144
2	1422
3	10895
3	10396
3	13450
3	9971
3	12965
3	13258
3	7306
3	6384
3	9643
3	3110
3	8232
3	5715
3	1249
3	7572
3	5841
3	2165
3	1120
3	4929
3	10646
3	7297
3	2011
3	11408
3	4985
3	1666
3	3604
3	4768
3	3270
3	5942
3	2814
3	12326
3	9743
3	667
3	8998
3	13731
3	1953
3	9518
3	4524
3	10798
3	6115
3	8115
3	4358
3	2542
3	6288
3	12618
3	11308
3	10249
3	3969
3	11818
3	12578
3	5356
3	3827
3	4561
3	3265
3	6885
3	9103
3	13616
3	7517
3	1248
3	4792
3	10841
3	8464
3	3601
3	3810
3	9981
3	2692
3	778
3	7519
3	8977
3	6370
3	2418
3	786
3	4895
3	9590
3	10881
3	4667
3	12355
3	12084
3	8890
3	5233
3	1825
3	175
4	4
4	11188
4	4303
5	5
5	10674
5	11296
5	7022
6	6
6	11534
7	7
7	13059
7	7554
8	11287
8	7140
8	6398
8	1588
8	7019
8	10381
8	3178
8	11117
8	9931
8	12598
8	13039
8	1601
9	9
9	11380
9	13499
9	4587
10	10
10	6178
10	9955
10	5961
11	9358
11	4608
11	6728
11	11
11	11406
11	12700
11	4827
12	13
12	11143
12	7268
13	14
13	5639
13	7048
13	9917
13	7340
13	6977
13	9945
13	8506
13	12556
13	12577
13	5631
14	15
14	8491
14	10401
14	7026
15	3196
15	5936
15	5169
15	150
15	1882
15	12675
15	1632
15	11292
15	11388
15	9829
15	12167
15	7970
15	12979
15	1704
16	8444
16	11152
16	9967
16	4713
16	3766
16	2306
16	1442
16	4576
16	8721
16	9862
16	1757
16	5877
16	4698
16	12645
16	12398
16	1481
17	18
17	9790
17	8451
18	19
18	382
18	3148
18	10201
18	6513
18	396
18	8708
18	10399
18	11841
18	517
19	2
19	9823
19	11176
19	2928
20	20
20	13735
21	11227
21	10620
21	11528
21	90
21	3056
21	12115
21	12949
21	12758
21	446
22	22
22	9991
22	10465
22	8654
23	23
23	11247
24	24
24	10190
24	7892
25	8501
25	5692
25	9822
25	2873
25	4461
25	8952
25	10157
25	11507
25	3639
26	903
26	26
26	9849
26	13136
26	903
27	27
27	7209
27	11518
27	2040
28	7020
28	10692
28	2266
28	5553
28	28
28	11217
28	13723
28	4117
29	29
29	11160
30	30
30	3953
31	31
31	1360
31	4631
31	7377
31	4938
31	1446
31	4499
31	12186
31	12682
31	588
32	32
32	13520
32	13520
32	3481
33	33
33	5680
34	8415
34	313
34	3144
34	12
34	9787
34	12866
34	1639
35	35
35	11660
35	7248
35	8672
35	2897
35	6992
35	10081
35	8962
35	3019
35	34
35	4493
35	4493
35	1458
35	1505
35	5188
35	4310
35	1732
35	3101
35	266
35	3183
35	5319
35	1631
35	5654
35	5868
35	6559
35	1424
35	4312
35	675
36	266
36	35
36	10034
36	12636
36	156
37	1659
37	36
37	5864
37	12641
37	2983
38	11160
38	7866
38	4659
38	47
38	6701
38	10358
38	4061
38	9960
38	9973
38	11666
38	12555
38	2626
39	38
39	13254
40	39
40	8586
41	12
41	9787
41	8431
42	8493
42	3055
42	5824
42	40
42	12593
42	13151
42	5688
43	5768
43	8515
43	237
43	4317
43	41
43	8757
43	8757
43	4513
44	42
44	10528
45	43
45	7074
45	4336
46	10859
46	5703
46	31
46	7311
46	12406
46	8878
46	4301
46	1660
46	1236
46	1931
46	4301
46	8576
46	1517
46	8878
46	9889
46	4781
46	4635
46	12617
46	9842
46	1435
47	44
47	7065
47	10986
47	4606
48	6356
48	12702
48	57
48	1848
48	45
48	12611
48	13034
48	77
49	8142
49	13753
49	9222
49	9143
49	144
49	2656
49	12597
49	2809
49	6078
49	1768
49	6369
49	11474
49	5871
49	2288
49	4067
49	4863
49	3884
49	12281
49	9972
49	1022
49	11775
49	13528
49	1521
49	10691
49	6626
49	6577
49	1565
49	13839
49	11481
49	13066
49	8421
49	11287
49	6085
49	12368
49	108
49	7713
49	8428
49	8596
49	10482
49	7176
49	8403
49	9189
49	5817
49	7672
49	6915
49	3421
49	9317
49	12784
49	8652
49	1677
49	7176
49	10276
49	4063
49	5593
49	3832
49	818
49	10409
49	11669
49	8669
49	2914
49	801
49	8290
49	10991
49	12767
49	7096
49	12053
49	6240
49	3436
49	469
50	48
50	3281
51	9936
51	266
51	1424
51	49
51	12857
51	12793
51	1458
52	4406
52	7008
52	50
52	8701
52	11287
52	4839
53	13
53	12117
54	3448
54	52
54	9806
54	13176
54	7212
55	53
55	6888
55	12590
55	2996
56	54
56	11463
56	11838
56	6426
57	3628
57	2168
57	352
57	3472
57	9178
57	2707
57	6650
57	6689
57	8743
57	6543
57	13422
57	13818
57	1352
58	56
58	11016
58	5700
59	57
59	12758
60	58
60	11682
61	59
61	9816
62	60
62	8083
62	8531
62	6979
63	7608
63	3102
63	8821
63	918
63	1041
63	7003
63	12614
63	12614
63	404
64	62
64	12580
64	11835
65	63
65	10089
66	64
66	2923
67	2609
67	3086
67	65
67	8865
67	8510
67	3284
68	66
68	9845
68	4333
69	60
69	9828
69	8480
70	67
70	12588
70	2916
71	68
71	7118
72	69
72	4759
73	70
73	3090
74	71
74	8810
75	72
75	9787
76	5661
76	11287
76	1522
76	4406
76	73
76	11153
76	12818
76	1926
77	74
77	12587
77	5756
78	75
78	5112
78	5614
78	4296
79	2876
79	10897
79	76
79	11350
79	7052
79	4413
79	12558
79	477
79	3578
79	10211
79	3220
79	8972
79	3051
79	4321
79	1520
79	6997
79	9650
79	3042
79	3124
79	13226
79	9002
79	1327
80	4105
80	4679
80	7159
80	64
80	13032
80	8840
80	9520
80	5864
80	9038
80	11561
80	8565
80	11328
80	446
80	13034
80	3303
80	12611
80	5268
80	77
80	8333
80	6227
80	12490
80	10255
80	4344
80	3569
80	2048
80	6944
80	3033
80	36
80	5430
80	7112
80	7035
80	2986
80	10042
80	5329
80	764
81	78
81	8747
82	79
82	2994
82	1456
83	2500
83	7873
83	1106
83	7628
83	8503
83	4660
83	11029
83	10162
83	12429
83	9500
83	11948
83	11622
83	5073
83	712
83	13048
83	13017
83	5387
83	5927
83	2212
83	8600
83	12302
83	2811
83	80
83	5700
83	4768
83	11326
83	11368
83	3043
83	1756
83	1851
83	5007
83	1620
83	1259
83	2834
83	10948
83	5827
83	7236
83	2137
83	8600
83	3839
83	2
84	5828
84	8780
84	188
84	1817
84	81
84	11447
84	13016
84	1519
85	82
85	12278
86	83
86	11577
87	84
88	138
88	2897
88	85
88	6496
88	7804
88	103
89	86
89	11674
90	8436
90	327
90	3526
90	87
90	9993
90	12869
90	613
91	88
91	1566
92	89
92	11240
93	669
93	1944
93	36
93	9369
93	11193
93	620
94	5748
94	9351
94	406
94	2971
94	90
94	9807
94	11969
94	1712
95	7156
95	11161
95	4728
95	6711
95	91
95	11448
95	12690
95	4915
96	92
96	11217
96	11440
96	8991
97	93
97	8803
97	119
98	26
98	12745
98	11325
99	3334
99	7503
99	94
99	9899
99	13451
99	7061
100	95
100	13719
100	11961
101	8506
101	1
101	275
101	2
101	8506
101	13410
101	275
102	96
102	9707
103	97
103	3561
104	1
104	12186
104	11952
105	98
105	12810
105	3780
106	99
106	5682
106	6975
106	3129
107	100
107	8531
107	10686
107	6969
108	101
108	5742
109	1464
109	12966
109	810
109	2343
109	59
109	12733
109	12733
109	1095
110	102
110	13323
111	1458
111	3131
111	3074
111	272
111	1557
111	9194
111	9920
111	1527
111	8648
111	6365
111	5710
111	7136
111	5139
111	13560
111	12814
111	187
112	104
112	10970
112	2986
113	105
113	4457
113	10045
113	4664
114	106
114	8477
114	7155
115	107
115	9187
115	107
116	108
116	6961
116	6913
117	109
117	9790
118	139
118	7743
118	110
118	10038
118	12602
118	3106
119	111
119	11163
120	9081
120	5217
120	5870
120	112
120	11193
120	11705
120	5637
121	113
121	10502
122	114
122	2315
122	3833
122	9035
122	7869
122	3728
122	6959
122	10477
122	13275
122	2395
123	6757
123	10564
123	10871
123	5242
123	4542
123	108
123	1579
123	5740
123	7662
123	9010
123	2040
123	5925
123	4780
123	12620
123	10984
123	1576
124	116
124	9790
125	117
125	2947
126	118
126	10636
126	11289
126	7661
127	8543
127	7067
127	10338
127	1428
127	3214
127	8527
127	12902
127	13187
127	1595
128	120
128	12049
129	121
129	10008
130	122
130	7161
131	123
131	12568
132	124
132	3090
132	10093
132	1481
133	125
133	12653
133	6604
134	126
134	6993
134	5764
135	127
135	1756
135	127
135	5657
135	7292
135	542
136	18
136	10009
136	6969
137	5165
137	8834
137	128
137	13222
137	11554
137	13775
137	5577
137	11824
137	13615
137	10778
137	12602
137	5771
137	387
137	13850
137	5969
137	2133
137	8757
137	13786
137	4120
137	128
137	6634
137	6074
137	13559
137	12329
137	4715
137	1235
137	180
137	4369
137	1482
137	366
137	5022
137	6391
137	7477
137	363
137	10748
137	5165
137	256
138	11491
138	298
138	2380
138	9975
138	8566
138	13693
138	12656
138	11949
138	10798
138	8570
138	11415
138	11326
138	11152
138	11542
138	9320
138	7111
138	254
138	13486
138	10640
138	7644
138	7808
138	2607
138	4706
138	129
138	7293
138	7197
138	11147
138	11472
138	4887
138	1106
138	1317
138	6530
138	2380
138	438
138	4761
138	11326
138	7797
138	8537
138	2380
138	10357
138	5559
138	273
139	1806
139	3713
139	130
139	7021
139	11350
139	3712
140	131
140	2942
140	11184
140	2961
141	132
141	12587
141	8236
142	7307
142	5778
142	8772
142	80
142	2103
142	7947
142	12954
142	12954
142	2013
143	134
143	491
143	4316
143	8860
143	7503
143	2993
143	8205
143	12768
143	13310
143	2500
144	135
144	8508
145	2981
145	10697
145	271
145	1480
145	113
145	11710
145	11296
145	665
146	136
146	13666
146	2259
147	137
147	4338
147	3214
148	337
148	14
148	8416
148	8506
148	5782
149	150
149	138
149	10660
149	10327
149	3134
150	6879
150	3953
150	11461
150	118
150	682
150	10301
150	11192
150	12963
150	118
151	140
151	10131
152	141
153	1485
153	4283
153	142
153	11312
153	12180
153	4321
154	109
154	12568
155	94
155	2903
155	12757
155	1562
156	9396
156	4383
156	5749
156	143
156	11256
156	12747
156	4527
157	4401
157	931
157	2920
157	8734
157	7350
157	13661
157	10129
157	12833
157	10077
157	10398
157	8690
157	7703
157	12113
157	12154
157	12628
157	8421
157	12980
157	11403
157	8266
157	5648
157	364
157	12597
157	5659
157	7017
157	2506
157	3443
157	144
157	6242
157	5641
157	13067
157	10520
157	4727
157	1457
157	1958
157	4977
157	1579
157	10037
157	471
157	5104
157	10194
157	5937
157	7125
157	2390
157	8502
157	4540
157	429
158	5410
158	10341
158	10
158	11582
158	8845
158	5692
158	9831
158	7
158	2873
158	9793
158	3639
158	4410
158	7673
158	351
158	7781
158	10801
158	4708
158	3353
158	13609
158	10514
158	40
159	4688
159	145
159	11028
159	12627
159	5699
160	2048
160	2643
160	784
160	1659
160	11541
160	2583
160	9113
160	8894
160	10229
160	1436
160	13696
160	12836
160	633
161	1639
161	4606
161	6
161	8586
161	9790
161	1976
162	121
162	5619
162	9790
162	3173
163	147
163	8884
163	6999
164	3980
164	4245
164	2940
164	1417
164	3297
164	9988
164	9823
164	2625
164	10551
164	8670
164	8020
164	8666
164	3128
164	13857
164	13621
164	2676
165	149
165	10012
165	7037
166	575
166	150
166	12731
166	12979
166	3470
167	151
167	9807
167	11568
167	7758
168	152
168	8796
168	11386
168	3946
169	7368
169	153
169	8444
169	11152
169	8449
169	8654
169	5155
169	4364
169	169
169	2884
169	6537
169	8231
169	1442
169	8434
169	10170
169	5761
169	4713
169	12839
169	10170
169	1655
170	154
170	8840
171	3040
171	3455
171	155
171	10049
171	10189
171	3040
172	156
172	11331
172	12800
172	3315
173	157
173	7073
174	158
174	6989
174	5350
175	11288
175	1619
175	4667
175	117
175	11288
175	12603
175	4417
176	253
176	159
176	7320
176	8625
176	17
177	4283
177	6389
177	5706
177	1762
177	3682
177	11178
177	3844
177	9787
177	8529
177	8431
177	8531
177	8767
177	12603
177	3235
178	8578
178	691
178	4869
178	6
178	8431
178	12711
178	1879
179	1576
179	476
179	13165
179	6503
179	7489
179	9420
179	10512
179	10065
179	11603
179	6265
179	161
179	11306
179	8684
179	1579
179	1630
179	5721
179	7109
179	4550
179	5926
179	103
179	5724
179	7944
179	5248
179	9678
179	8660
179	9071
179	3129
179	12228
179	6661
179	479
180	162
180	8603
180	12801
180	8327
181	56
182	71
182	6085
182	3296
183	163
183	11704
183	5916
184	164
184	10585
184	12597
184	8704
185	165
185	12019
186	166
186	8010
186	8339
186	3201
187	167
187	10261
187	6699
188	168
188	7309
188	12709
188	4514
188	3183
188	3093
188	317
188	3084
188	3593
188	6155
188	35
188	7790
188	2897
188	3196
188	13462
188	8463
188	266
189	60
189	8822
189	5619
190	169
